,0,1,2,3,4,5,6,name,id
0,8 pm,8 pm,8 pm,7 pm,8 pm,8 pm,6 pm,The Abbey,ChIJG6sjurF544kRj4w6BLcfrKU
1,8 pm,12 pm,12 pm,12 pm,6 pm,9 pm,8 pm,Dragon Star Chinese Restaurant,ChIJ9yb9W7B544kRp5Qut7uEPJ8
2,7 pm,7 pm,8 pm,8 pm,9 pm,7 pm,7 pm,The Publick House,ChIJ2QgzqbF544kR-HZHOjrGTjk
3,Closed,3 pm,7 pm,7 pm,8 pm,7 pm,2 pm,Rhythm 'n Wraps,ChIJxbJWjclw44kRKviEMx4pUWg
4,9 am,9 am,11 am,9 am,9 am,11 am,10 am,Dunkin' Donuts,ChIJo7uxpI1544kRnYkZ01eUhRY
5,10 pm,8 pm,11 pm,12 am,11 pm,12 am,12 am,T Anthony's Pizzeria,ChIJvYOGhMJ544kRmYB1EiJcZhQ
6,8 pm,7 pm,8 pm,7 pm,6 pm,7 pm,7 pm,Blaze Pizza,ChIJARHXaeh544kRKVg2N64DdMY
7,12 pm,8 pm,7 pm,6 pm,7 pm,6 pm,1 pm,Raising Cane's Chicken Fingers,ChIJgd56Xeh544kRBxi8R-V-CKs
8,9 pm,11 pm,9 pm,8 pm,6 pm,10 pm,12 am,T's Pub Boston,ChIJNzYxP-h544kRImUqbH8EMlY
9,7 pm,6 pm,1 pm,7 pm,1 pm,1 pm,12 pm,The Fresh Food Company at Marciano Commons,ChIJu68FA_h544kRFZ4pbYQVLcI
10,1 pm,1 pm,12 pm,9 pm,1 pm,2 pm,1 pm,Nud Pob Thai Cuisine,ChIJsfiT7fB544kR3kuSuwNAPdU
11,12 pm,11 am,1 pm,11 am,Closed,Closed,Closed,Einstein Bros. Bagels,ChIJw0_I4O9544kRVEkl9mgAiDA
12,8 pm,7 pm,8 pm,11 pm,11 pm,11 pm,12 am,Lansdowne Pub,ChIJBf7GDx1644kRSGuvDfSwJtE
13,1 pm,12 pm,1 pm,1 pm,1 pm,1 pm,3 pm,Clover (LMA),ChIJZ4d2mY1544kRMVkt11DkMJg
14,8 pm,8 pm,8 pm,7 pm,10 pm,11 pm,12 am,Lucky Strike Social Boston,ChIJX9gQ4hx644kRT6GRnKaqK6Y
15,10 pm,4 pm,Closed,10 pm,10 pm,10 pm,8 pm,Cafe 472,ChIJBSxo0hx644kRynOPvpeqGhA
16,9 pm,6 pm,8 pm,1 pm,9 pm,9 pm,7 pm,Beijing Cafe,ChIJWbV1rPB544kRMcks9YJ2N5k
17,7 pm,7 pm,7 pm,8 pm,10 pm,11 pm,12 am,Cheeky Monkey Brewing Co.,ChIJ6bV0Gx1644kRjbtygVcbOq4
18,7 pm,7 pm,9 pm,9 pm,6 pm,7 pm,7 pm,India Quality Restaurant,ChIJv6Oz1xx644kRd-S5aU2l0nk
19,8 pm,7 pm,7 pm,7 pm,8 pm,6 pm,7 pm,Island Creek Oyster Bar,ChIJ5U1zLh1644kRy7N2iL6TN-4
20,8 pm,7 pm,7 pm,7 pm,8 pm,6 pm,7 pm,Island Creek Oyster Bar,ChIJd6rZMR1644kRlrG2yF80Wlg
21,Closed,7 pm,7 pm,Closed,7 pm,7 pm,7 pm,Wing-It,ChIJHZHVDcR544kRgUW5dmqGfBg
22,7 pm,7 pm,6 pm,7 pm,7 pm,4 pm,7 pm,OliToki,ChIJLSZFX8R544kRseGXGaSx-Wc
23,7 pm,9 pm,7 pm,9 pm,11 pm,11 pm,12 am,Loretta's Last Call,ChIJuysRHR1644kRRkXMVhlbbu4
